,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
o__Acholeplasmatales;,-0.13763729916176834,0.8905909072360048,0.8631368631368631,0.9294551602243911,1.0
o__Acidaminococcales;,-1.601639395401055,0.10996294581046126,0.1108891108891109,0.37448266019694587,0.987
o__Aeromonadales;,-2.0426245597868817,0.0416933359400615,0.03796203796203796,0.2223490794919366,0.803
o__Bacteroidales;,-1.0688021274680173,0.2857529406397607,0.22377622377622378,0.43689643689643687,1.0
o__Bifidobacteriales;,-1.2686043675189356,0.2052622169906368,0.21178821178821178,0.43689643689643687,1.0
o__Burkholderiales;,-2.3227402773373056,0.02065468161401211,0.023976023976023976,0.16383616383616384,0.537
o__Christensenellales;,2.8298139072550437,0.004873631831408315,0.00999000999000999,0.08191808191808192,0.181
o__Clostridia;,0.10979303313855612,0.9126242650922887,0.8841158841158842,0.9294551602243911,1.0
o__Clostridia_UCG-014;,0.015447325109010326,0.9876824064994099,0.985014985014985,0.985014985014985,1.0
o__Clostridia_vadinBB60_group;,3.245987721718982,0.0012611039093968078,0.004995004995004995,0.0511988011988012,0.076
o__Clostridiales;,0.41677354262902405,0.6770501118201162,0.6783216783216783,0.8690996503496503,1.0
o__Coriobacteriales;,-1.7976079478571938,0.0729341294519391,0.08091908091908091,0.37448266019694587,0.95
o__DTU014;,1.1314656382289987,0.258483964870157,0.15184815184815184,0.41505161505161503,1.0
o__Desulfovibrionales;,-0.32956288912197557,0.7418892637218817,0.7322677322677322,0.8734238734238734,1.0
o__Enterobacterales;,-0.8491206658634228,0.3962822713934898,0.42157842157842157,0.6401746401746401,1.0
o__Erysipelotrichales;,-3.305168831021649,0.0010279555382591867,0.001998001998001998,0.027306027306027308,0.076
o__Flavobacteriales;,0.238243253680594,0.8118048738541623,0.7722277722277723,0.8734238734238734,1.0
o__Gastranaerophilales;,0.2776454220797838,0.7814167691630148,0.7882117882117882,0.8734238734238734,1.0
o__Izemoplasmatales;,3.7193521462673544,0.00022593895240186822,0.000999000999000999,0.02047952047952048,0.04
o__Lachnospirales;,-1.3423965505575548,0.18016920230911698,0.12287712287712288,0.37448266019694587,1.0
o__Lactobacillales;,0.8097001729314434,0.41855622541816395,0.4115884115884116,0.6401746401746401,1.0
o__Methanobacteriales;,-0.7647111816206045,0.4448591413458438,0.4485514485514486,0.6568074782360497,1.0
o__Monoglobales;,0.017559357435545535,0.9859984491260998,0.978021978021978,0.985014985014985,1.0
o__Opitutales;,1.6762718264628562,0.0944051116305999,0.12287712287712288,0.37448266019694587,0.975
o__Oscillospirales;,0.8886123247557255,0.37470369793588987,0.37162837162837165,0.6094705294705295,1.0
o__Pasteurellales;,1.1445382297605091,0.25303130931548284,0.21078921078921078,0.43689643689643687,1.0
o__Peptococcales;,0.24463495812259375,0.8068547115884429,0.7782217782217782,0.8734238734238734,1.0
o__Peptostreptococcales-Tissierellales;,0.5963355203890528,0.5512620103505796,0.6023976023976024,0.8232767232767233,1.0
o__RF39;,1.9096057322180726,0.05684301487444568,0.08791208791208792,0.37448266019694587,0.894
o__Rhodospirillales;,1.1928103674589703,0.23359535676619742,0.24875124875124874,0.4635818726727817,1.0
o__Saccharimonadales;,-0.9347116275217037,0.3504566988443736,0.12787212787212787,0.37448266019694587,1.0
o__Veillonellales-Selenomonadales;,-1.177281212822835,0.23972850051372185,0.22277722277722278,0.43689643689643687,1.0
o__Verrucomicrobiales;,1.562413169796233,0.11891954082255686,0.11588411588411589,0.37448266019694587,0.994
o__Victivallales;,0.5351616957773,0.5928121450364066,0.6273726273726273,0.8297508942670232,1.0
o__unknown_11;,-2.1492811805928747,0.03216440779190613,0.000999000999000999,0.02047952047952048,0.715
o__unknown_15;,-0.6958431419446551,0.4868995130899543,0.2077922077922078,0.43689643689643687,1.0
o__unknown_28;,-0.4190384649958852,0.6753953342438751,0.5044955044955045,0.7132522649764029,1.0
o__unknown_2;,0.8145628864815032,0.4157692939917993,0.2867132867132867,0.5110975980541198,1.0
o__unknown_4;,-0.947674143876712,0.34382272797964253,0.17182817182817184,0.43689643689643687,1.0
o__unknown_7;,-0.5967917910822539,0.5509575813648206,0.32167832167832167,0.5495337995337995,1.0
o__unknown_9;,-0.1488519312408275,0.8817396109400655,0.7882117882117882,0.8734238734238734,1.0
