index,lambda,gg_D_b,gg_nonzero_offdiag,se_nonzero_offdiag,se_D_b,abs_diff_nonzero_offdiag,abs_diff_D_b
0,0.900336610313242,0.0012692307692307695,0,0,0.0012692307692307,0,6.938893903907228e-17
1,0.706548131615755,0.023064102564102563,48,48,0.0230641025641026,0,3.8163916471489756e-17
2,0.55447069081866,0.06667948717948718,166,166,0.0667948717948718,0,0.00011538461538461442
3,0.435126402887606,0.10652564102564104,292,292,0.106525641025641,0,4.163336342344337e-17
4,0.341469783029216,0.15052564102564103,388,388,0.150525641025641,0,2.7755575615628914e-17
5,0.267971816805927,0.18833333333333335,468,468,0.188333333333333,0,3.608224830031759e-16
6,0.210293555011647,0.21611538461538465,504,504,0.216115384615385,0,3.3306690738754696e-16
7,0.165029963996043,0.23892307692307693,538,538,0.238923076923077,0,5.551115123125783e-17
8,0.129508909652638,0.26692307692307693,562,562,0.267038461538462,0,0.00011538461538507239
9,0.101633408099254,0.3096282051282051,606,606,0.309365384615385,0,0.00026282051282011665
10,0.0797578303266884,0.36052564102564105,658,658,0.360525641025641,0,5.551115123125783e-17
11,0.0625907525624689,0.4156666666666667,740,740,0.41573717948718,0,7.0512820513291e-05
12,0.0491187171251987,0.4666282051282052,820,820,0.466628205128205,0,1.6653345369377348e-16
13,0.0385464029948728,0.5050641025641025,900,900,0.505019230769231,0,4.487179487144832e-05
14,0.0302496740714118,0.5288461538461539,1002,1002,0.529038461538461,0,0.00019230769230715872
15,0.0237387333274225,0.5233974358974359,1068,1067,0.529038461538461,1,0.005641025641025088
16,0.0186292076622093,0.5134358974358975,1158,1158,0.529038461538461,0,0.015602564102563554
17,0.0146194564526666,0.48244871794871796,1224,1223,0.529038461538461,1,0.04658974358974305
18,0.0114727642123491,0.43696153846153846,1292,1290,0.529038461538461,2,0.09207692307692256
19,0.0090033661031324,0.3847564102564103,1348,1348,0.529038461538461,0,0.14428205128205074
