taxa,u_se,u_py,u_diff,sigma_se,sigma_py
4468234,0.230648662744714,0.23080772079867315,0.00015905805395916017,0.268347414336431,0.2641713426075045
4436552,-0.0328611144616489,-0.03301924544876278,-0.00015813098711387613,0.268347414336431,0.2641713426075045
4481131,0.287844184990429,0.2857964249334552,-0.002047760056973824,0.268347414336431,0.2641713426075045
4457438,0.187412083815595,0.18664146269139958,-0.0007706211241954031,0.268347414336431,0.2641713426075045
4402903,0.234081933004689,0.2333196240023159,-0.0007623090023730905,0.268347414336431,0.2641713426075045
4448331,0.0420176304386775,0.04208154817990385,6.391774122635474e-05,0.268347414336431,0.2641713426075045
2829179,-0.0528090575794895,-0.05291792669341391,-0.00010886911392440912,0.268347414336431,0.2641713426075045
4306262,0.0688389326922113,0.06928077296539119,0.00044184027317989427,0.268347414336431,0.2641713426075045
4480861,0.0915424453391625,0.09196369962448386,0.00042125428532135967,0.268347414336431,0.2641713426075045
4476877,0.0886828990450554,0.08945025626764447,0.0007673572225890685,0.268347414336431,0.2641713426075045
4365130,0.11046942568921,0.11061771242713617,0.0001482867379261621,0.268347414336431,0.2641713426075045
4347159,0.0775594355432722,0.07799002145885797,0.0004305859155857711,0.268347414336431,0.2641713426075045
505670,-0.0889094461149263,-0.08962548130732405,-0.0007160351923977543,0.268347414336431,0.2641713426075045
841635,0.122801486945424,0.1236828219086194,0.000881334963195396,0.268347414336431,0.2641713426075045
1071450,-0.0657881575404288,-0.06634340358635636,-0.0005552460459275627,0.268347414336431,0.2641713426075045
4446058,-0.18384456183689,-0.18506627886200414,-0.001221717025114144,0.268347414336431,0.2641713426075045
4425214,-0.208581619795026,-0.20902534322318286,-0.0004437234281568503,0.268347414336431,0.2641713426075045
165118,0.0226512218408889,0.022832647056535794,0.00018142521564689512,0.268347414336431,0.2641713426075045
4481613,0.0303595055136644,0.030370020739379725,1.051522571532404e-05,0.268347414336431,0.2641713426075045
4402605,0.15735024792051,0.158064787628475,0.0007145397079650062,0.268347414336431,0.2641713426075045
4453609,0.226894263127781,0.22733796833224784,0.0004437052044668488,0.268347414336431,0.2641713426075045
175844,0.14226189060778,0.14313376585763427,0.0008718752498542703,0.268347414336431,0.2641713426075045
325850,0.08752498107998,0.088241153901242,0.0007161728212620039,0.268347414336431,0.2641713426075045
952003,-0.278350938791135,-0.2775997539164102,0.0007511848747248084,0.268347414336431,0.2641713426075045
1000986,-0.125354351867901,-0.12657338874955776,-0.0012190368816567543,0.268347414336431,0.2641713426075045
4477696,-0.244966458235137,-0.24424008364095104,0.0007263745941859523,0.268347414336431,0.2641713426075045
359872,0.187161285320023,0.18757653816334638,0.0004152528433233882,0.268347414336431,0.2641713426075045
710275,-0.14513118236219,-0.14590425322240086,-0.0007730708602108616,0.268347414336431,0.2641713426075045
128300,-0.0731509256077487,-0.07388930744266892,-0.0007383818349202126,0.268347414336431,0.2641713426075045
4409730,0.101804784081297,0.10227191313989618,0.00046712905859917775,0.268347414336431,0.2641713426075045
4387092,-0.187929863400159,-0.18802960341341884,-9.974001325985249e-05,0.268347414336431,0.2641713426075045
4420570,-0.204529464212247,-0.2047888997363962,-0.00025943552414919857,0.268347414336431,0.2641713426075045
4446320,0.126941752692391,0.12748084908784732,0.0005390963954563233,0.268347414336431,0.2641713426075045
12574,-0.216853406723369,-0.21552301557332965,0.0013303911500393562,0.268347414336431,0.2641713426075045
1696853,-0.265066231106947,-0.26421270547084297,0.0008535256361040244,0.268347414336431,0.2641713426075045
1117593,-0.123543920815675,-0.12417676857782624,-0.0006328477621512368,0.268347414336431,0.2641713426075045
4428714,0.0710243273841803,0.07159782606178794,0.0005734986776076423,0.268347414336431,0.2641713426075045
290455,0.0152848692451165,0.015463152266704751,0.00017828302158825159,0.268347414336431,0.2641713426075045
4396235,-0.247015443681752,-0.2466749974189699,0.0003404462627820959,0.268347414336431,0.2641713426075045
177679,0.0434028095041611,0.04375054821737863,0.0003477387132175269,0.268347414336431,0.2641713426075045
