"taxa","u_se","sigma_se"
"4468234",0.230648662744714,0.268347414336431
"4436552",-0.0328611144616489,0.268347414336431
"4481131",0.287844184990429,0.268347414336431
"4457438",0.187412083815595,0.268347414336431
"4402903",0.234081933004689,0.268347414336431
"4448331",0.0420176304386775,0.268347414336431
"2829179",-0.0528090575794895,0.268347414336431
"4306262",0.0688389326922113,0.268347414336431
"4480861",0.0915424453391625,0.268347414336431
"4476877",0.0886828990450554,0.268347414336431
"4365130",0.11046942568921,0.268347414336431
"4347159",0.0775594355432722,0.268347414336431
"505670",-0.0889094461149263,0.268347414336431
"841635",0.122801486945424,0.268347414336431
"1071450",-0.0657881575404288,0.268347414336431
"4446058",-0.18384456183689,0.268347414336431
"4425214",-0.208581619795026,0.268347414336431
"165118",0.0226512218408889,0.268347414336431
"4481613",0.0303595055136644,0.268347414336431
"4402605",0.15735024792051,0.268347414336431
"4453609",0.226894263127781,0.268347414336431
"175844",0.14226189060778,0.268347414336431
"325850",0.08752498107998,0.268347414336431
"952003",-0.278350938791135,0.268347414336431
"1000986",-0.125354351867901,0.268347414336431
"4477696",-0.244966458235137,0.268347414336431
"359872",0.187161285320023,0.268347414336431
"710275",-0.14513118236219,0.268347414336431
"128300",-0.0731509256077487,0.268347414336431
"4409730",0.101804784081297,0.268347414336431
"4387092",-0.187929863400159,0.268347414336431
"4420570",-0.204529464212247,0.268347414336431
"4446320",0.126941752692391,0.268347414336431
"12574",-0.216853406723369,0.268347414336431
"1696853",-0.265066231106947,0.268347414336431
"1117593",-0.123543920815675,0.268347414336431
"4428714",0.0710243273841803,0.268347414336431
"290455",0.0152848692451165,0.268347414336431
"4396235",-0.247015443681752,0.268347414336431
"177679",0.0434028095041611,0.268347414336431
